food_name,category,diet_type,calories,protein,carbs,fat,fiber,serving
Egg,protein,eggitarian,70,6,0.6,5,0,1 whole egg
Egg White,protein,eggitarian,17,4,0,0,0,1 egg white
Milk,dairy,veg,120,8,12,5,0,250 ml
Curd,dairy,veg,60,4,4,3,0,100 g
Paneer,protein,veg,265,18,6,20,0,100 g
Tofu,protein,vegan,144,17,3,9,2,100 g
Soy Chunks,protein,vegan,345,52,33,0.5,13,100 g dry
Moong Dal,pulse,veg,105,7,18,1,4,100 g cooked
Masoor Dal,pulse,veg,116,9,20,0.4,8,100 g cooked
Chana Dal,pulse,veg,120,8,21,2,7,100 g cooked
Rajma,pulse,veg,127,8.7,23,0.5,6,100 g cooked
Chole,pulse,veg,164,9,27,2.6,8,100 g cooked
Roti,grain,veg,120,3,22,1,3,1 medium
Brown Rice,grain,veg,110,2.5,23,1,2,100 g cooked
White Rice,grain,veg,130,2.7,28,0.3,0.4,100 g cooked
Oats,grain,veg,389,17,66,7,10,100 g
Poha,breakfast,veg,130,2.5,25,2,1,100 g cooked
Upma,breakfast,veg,180,5,30,5,2,100 g
Idli,breakfast,veg,58,2,12,0.4,1,1 idli
Dosa,breakfast,veg,133,3,18,5,1,1 dosa
Peanuts,snack,vegan,567,26,16,49,8,100 g
Roasted Chana,snack,vegan,364,19,61,6,17,100 g
Banana,fruit,vegan,89,1.1,23,0.3,2.6,100 g
Apple,fruit,vegan,52,0.3,14,0.2,2.4,100 g
Low Fat Paneer,protein,veg,180,20,5,9,0,100 g
Paneer Bhurji,protein,veg,220,15,8,15,1,100 g
Palak Paneer,protein,veg,170,10,8,11,3,100 g
Matar Paneer,protein,veg,160,9,12,9,3,100 g
Paneer Tikka,protein,veg,210,18,7,12,1,100 g
Hung Curd,dairy,veg,95,8,5,4,0,100 g
Low Fat Curd,dairy,veg,45,4,5,1.5,0,100 g
Chaas,dairy,veg,35,2,4,1,0,250 ml
Plain Lassi Unsweetened,dairy,veg,75,4,6,4,0,150 ml
Sprouted Moong,protein,vegan,95,7,16,1,3,100 g
Mixed Sprouts,protein,vegan,105,8,18,1.5,4,100 g
Kala Chana,protein,vegan,164,9,27,2.5,8,100 g cooked
Matki Usal,protein,vegan,120,7,20,2.5,5,100 g
Besan Chilla,breakfast,veg,160,8,18,6,4,1 medium
Moong Dal Chilla,breakfast,veg,145,9,20,3,4,1 medium
Sattu Drink Unsweetened,protein,vegan,120,7,19,2,5,30 g sattu
Soy Nugget Curry,protein,vegan,165,17,12,6,5,100 g
Soy Granule Bhurji,protein,vegan,155,18,10,5,4,100 g
Boiled Egg,protein,eggitarian,70,6,0.6,5,0,1 egg
Omelette,protein,eggitarian,150,11,2,11,0,1 egg omelette
Scrambled Egg,protein,eggitarian,160,12,2,11,0,100 g
Egg Curry,protein,eggitarian,180,11,6,12,1,1 egg curry
Egg Bhurji,protein,eggitarian,170,12,4,12,1,100 g
Chicken Breast,protein,nonveg,165,31,0,3.6,0,100 g cooked
Chicken Curry,protein,nonveg,190,22,5,9,1,100 g
Chicken Keema,protein,nonveg,210,24,4,12,1,100 g
Grilled Chicken,protein,nonveg,170,30,0,4,0,100 g
Chicken Stew,protein,nonveg,150,22,6,5,1,100 g
Fish Curry,protein,nonveg,160,22,4,7,0,100 g
Grilled Fish,protein,nonveg,140,24,0,4,0,100 g
Rohu Fish Curry,protein,nonveg,170,20,4,8,0,100 g
Pomfret Fish,protein,nonveg,150,21,0,6,0,100 g
Surmai Fish,protein,nonveg,165,23,0,7,0,100 g
Prawns,protein,nonveg,99,24,0.2,0.3,0,100 g
Prawn Curry,protein,nonveg,150,21,5,6,0,100 g
Dal Tadka,pulse,veg,140,7,20,4,5,100 g
Dal Fry,pulse,veg,150,7,19,5,5,100 g
Mixed Dal,pulse,veg,125,8,20,2,6,100 g
Palak Dal,pulse,veg,115,7,17,2,5,100 g
Lauki Chana Dal,pulse,veg,110,6,18,2,5,100 g
Gujarati Dal,pulse,veg,130,6,22,3,4,100 g
Varan,pulse,veg,115,7,19,1.5,4,100 g
Toor Dal,pulse,veg,118,7,20,1,5,100 g
Urad Dal,pulse,veg,130,8,21,1.5,6,100 g
Moong Khichdi,regional,veg,120,5,22,2,3,100 g
Bhindi Bhaji,vegetable,vegan,90,2,10,5,4,100 g
Baingan Bharta,vegetable,vegan,100,2,12,5,5,100 g
Methi Bhaji,vegetable,vegan,85,3,9,4,4,100 g
Palak Sabzi,vegetable,vegan,80,3,8,4,4,100 g
Cabbage Sabzi,vegetable,vegan,75,2,10,3,4,100 g
Dudhi Bhaji,vegetable,vegan,65,1.5,8,3,3,100 g
Tondli Bhaji,vegetable,vegan,90,2,12,4,4,100 g
Pumpkin Sabzi,vegetable,vegan,80,1,14,3,3,100 g
Karela Sabzi,vegetable,vegan,75,2,9,4,4,100 g
Beans Sabzi,vegetable,vegan,90,3,12,3,5,100 g
Beetroot Sabzi,vegetable,vegan,85,2,14,3,4,100 g
Mixed Vegetable Sabzi,vegetable,vegan,95,3,13,4,4,100 g
Gawar Bhaji,vegetable,vegan,85,3,11,3,5,100 g
Capsicum Sabzi,vegetable,vegan,75,2,9,4,3,100 g
Cauliflower Sabzi,vegetable,vegan,80,3,10,3,4,100 g
Lauki Kofta Baked,vegetable,veg,120,5,14,5,3,100 g
Ragi Roti,grain,vegan,110,3,22,1.5,4,1 medium
Jowar Roti,grain,vegan,105,3,21,1,3,1 medium
Bajra Roti,grain,vegan,120,3.5,23,2,4,1 medium
Phulka,grain,veg,85,3,17,0.5,2,1 medium
Dalia,grain,veg,150,5,28,2,4,100 g cooked
Vegetable Dalia,breakfast,veg,135,5,24,3,4,100 g
Ragi Porridge,breakfast,veg,140,4,26,3,4,100 g
Vegetable Oats,breakfast,veg,155,6,25,4,5,100 g
Rava Idli,breakfast,veg,70,2,14,1,1,1 idli
Uttapam,breakfast,veg,170,5,28,4,2,1 medium
Appam,breakfast,veg,120,2,24,2,1,1 appam
Pesarattu,breakfast,vegan,160,9,24,4,4,1 medium
Thepla,regional,veg,120,4,20,3,3,1 medium
